"ID","OTHER_SITE_VALUE","STATUS_PANTINUM","STATUS_GOLD","STATUS_SILVER","NUM_DEAL","LAST_DEAL","ADVANCE_PURCHASE","FARE_L_Y1","FARE_L_Y2","FARE_L_Y3","FARE_L_Y4","FARE_L_Y5","POINTS_L_Y1","POINTS_L_Y2","POINTS_L_Y3","POINTS_L_Y4","POINTS_L_Y5","CALL_FLAG","CREDIT_PROBLEM","RETURN_FLAG","BENEFIT_FLAG","BUYER_FLAG"
1,13.1965587201881,0,0,0,4,43.3,26,140,149.2,161.7,165.8,161.7,77.8,94.8,114.2,167.1,154.1,0,0,0,0,0
2,10.2845681534746,0,0,1,2,123.3,22,241.7,241.7,235,240.8,235,220.2,242.8,244.4,225.5,223.6,0,1,0,1,0
3,11.2763887917855,0,0,0,5,30,20,144.2,150,150,152.5,159.2,158.7,159.8,175.1,152.3,180.1,0,0,0,0,0
4,10.6781600536537,0,0,0,4,40,21,145,148.3,150,155.8,154.2,109.6,127.7,135.1,110.4,139.5,0,0,0,0,0
5,9.17084279339374,0,0,0,5,30,22,133.3,135,132.5,130,137.5,94.5,84.4,94.9,85.2,84.8,0,0,0,0,0
6,11.115296518312,0,0,0,4,40,24,153.3,152.5,153.3,155,148.3,136.5,148.4,133.6,122.2,139.3,0,0,0,0,1
7,8.64888532974109,0,0,0,4,36.7,27,139.2,134.2,125.8,126.7,133.3,129,141.9,177.9,102,76.8,0,0,0,0,0
8,16.2835332589796,0,0,0,3,36.7,15,98.3,106.7,98.3,96.7,106.7,121.7,129.7,101.6,115.9,120.8,0,0,0,0,0
9,7.0550132249831,0,0,0,5,23.3,17,112.5,111.7,101.7,109.2,115,114.2,96.7,119.2,95.2,106.2,0,0,0,0,1
10,6.92909071375269,0,0,1,4,53.3,26,212.5,205.8,210.8,207.5,214.2,202.1,214.4,237.8,241.9,226.9,0,0,0,1,0
11,6.21607940041264,0,0,1,7,26.7,15,181.7,180.8,185,177.5,180,186.2,176.1,161.2,157.8,161.8,0,0,0,0,1
12,8.17244516944452,0,0,1,3,56.7,25,150.8,162.5,161.7,193.3,175,170.3,192.4,189.3,198.8,204.4,1,0,0,0,1
13,11.8850002104379,0,0,0,4,33.3,23,205,168.3,135.8,126.7,125,151.9,141.7,142,134.3,93,0,0,0,0,0
14,11.5230943401267,0,0,0,2,43.3,18,118.3,105,135.8,131.7,84.2,150.9,162.4,137.8,108.7,135.2,0,0,0,0,0
15,13.1534744957992,0,0,0,3,36.7,18,112.5,122.5,110,120.8,113.3,119.8,112,105.4,104.8,99.8,0,0,0,0,0
16,9.28110179706121,0,0,0,2,83.3,17,160,165.8,155.8,155,153.3,126.5,114.6,149.4,166.4,173.1,0,0,0,0,0
17,11.7084752772176,0,0,0,4,26.7,16,111.7,114.2,111.7,100,100,141.2,120.5,104.9,77.5,80.2,0,0,0,0,0
18,9.29351637556872,0,1,0,7,36.7,30,281.7,264.2,257.5,268.3,251.7,336.6,302,274.4,261.9,242.1,0,0,0,1,0
19,8.4974135502333,0,1,0,4,70,31,260.8,261.7,271.7,273.3,274.2,272,246.2,268.3,267.7,275,0,0,0,1,1
20,11.472665993331,0,0,0,4,36.7,20,138.3,143.3,144.2,144.2,134.2,79,91.3,81.2,72.2,84,0,0,0,0,1
21,8.26760618125662,0,0,0,6,23.3,15,130.8,120.8,117.5,115,104.2,107.4,96.4,95.3,77.6,85.9,0,0,0,0,0
22,10.4105124929851,0,0,0,2,70,14,143.3,139.2,136.7,138.3,143.3,140.3,154.3,143.8,143.5,164.5,0,0,0,0,0
23,4.66250924752537,0,0,0,3,36.7,23,110,107.5,100.8,99.2,106.7,81.2,111.9,149.2,151.2,108.8,0,0,0,0,0
24,9.33698109073894,0,0,0,5,30,17,140.8,142.5,143.3,140,138.3,158.3,161.8,182.8,160.9,117.2,0,1,0,0,0
25,9.83802393504986,0,0,0,6,23.3,27,137.5,135,129.2,138.3,129.2,106.9,122.2,104.5,96.3,83,0,0,0,0,0
26,8.65906796820231,0,1,0,4,80,27,314.2,313.3,296.7,305.8,290.8,264.8,259.8,283.2,313.5,288.4,0,0,0,0,0
27,9.47656784779929,0,0,0,4,40,32,151.7,145.8,145,150.8,149.2,145.2,127.7,136.7,144.3,169.4,0,0,0,0,0
28,10.3206467490528,0,0,0,6,26.7,31,140.8,151.7,146.7,152.5,159.2,127,144.6,166.5,187.6,191.8,0,0,0,0,0
29,11.4650298790161,0,0,1,2,110,25,217.5,219.2,210,204.2,213.3,193.2,210.7,192.8,219.1,235.2,0,1,0,0,0
30,6.59289593443123,0,1,0,3,90,23,270.8,265.8,275.8,277.5,285,266.2,261.2,276.8,282.2,283.6,0,0,0,0,0
31,12.201182378134,0,0,0,2,76.7,18,143.3,151.7,160,150.8,144.2,183.5,170.3,157.2,159.8,151.9,0,0,0,0,0
32,3.64915832554803,0,0,0,4,30,13,87.5,105.8,80,112.5,111.7,108.6,127.8,133,102.9,143.2,0,0,0,0,0
33,10.9833972941625,0,0,0,5,26.7,29,117.5,120.8,112.5,130.8,136.7,148.8,126.6,119.8,137.2,135.9,0,0,0,0,0
34,6.31457039955557,0,0,1,2,116.7,23,239.2,229.2,232.5,229.2,232.5,281.4,226,186.4,212.8,207.2,0,0,0,1,0
35,6.41210607928566,0,0,0,5,23.3,16,112.5,109.2,108.3,111.7,126.7,115.7,139,159.9,140.9,142.4,0,0,0,0,0
36,7.29629685886869,0,0,0,8,20,23,132.5,138.3,140,142.5,148.3,115.7,153.2,161.9,196.4,178.3,0,0,0,0,0
37,12.8437098001513,0,0,0,3,36.7,17,102.5,100.8,108.3,110.8,114.2,93.5,88.7,140.8,130.6,103.1,0,0,0,0,0
38,10.8076790923071,0,0,0,3,43.3,24,105,106.7,110,113.3,121.7,169.2,140.2,115.4,142.4,124.2,0,0,0,0,0
39,12.5772432698319,0,0,1,5,43.3,19,210,208.3,216.7,217.5,205,180.9,193.3,166.8,159.2,147,0,1,0,0,0
40,9.92587300988387,0,0,1,5,43.3,20,212.5,200,198.3,205.8,220.8,191.3,194.5,218.9,253.5,232.8,0,0,0,1,0
41,11.3120559188241,0,0,0,5,36.7,25,176.7,171.7,171.7,171.7,170,62.9,108.8,146.2,151.4,156,1,0,0,0,0
42,9.57870590167709,0,0,1,4,40,18,148.3,148.3,146.7,144.2,145.8,170.7,211.1,196.2,178.5,145.9,0,0,0,0,0
43,16.8923447689224,0,0,1,2,126.7,27,250,252.5,253.3,243.3,242.5,220.8,209.4,211.4,202.3,213.1,0,0,0,0,0
44,8.13191844350266,0,0,0,5,23.3,17,115.8,111.7,109.2,112.5,126.7,110.9,148,155.9,142.2,157.1,0,0,0,0,0
45,8.11294024242345,0,0,0,1,103.3,22,90,105.8,118.3,120,100.8,115.5,144.4,135.4,113.1,97.2,0,0,0,0,0
46,10.0965163925324,0,0,1,3,73.3,23,208.3,210,213.3,215,215,256.4,250.7,229.2,215.7,205.3,0,0,0,1,0
47,7.01882907289954,0,0,1,4,60,21,228.3,224.2,217.5,210,225,210.8,215.2,187.5,241.4,256.4,0,0,0,0,0
48,13.2994969661693,0,0,1,2,76.7,16,151.7,151.7,149.2,152.5,146.7,164.8,186.8,188.9,168.8,164.8,0,0,0,1,0
49,9.72111274129333,0,0,0,5,30,17,140.8,142.5,146.7,144.2,142.5,70.6,79,90.3,126.8,137.2,0,0,0,0,0
50,9.14184146741557,0,0,0,5,36.7,24,180.8,170,148.3,138.3,133.3,134.2,117.3,110.9,138.2,124.1,0,0,0,0,0
51,9.32747056991111,0,0,0,0,0,14,157.5,155.8,132.5,145.8,135.8,139.2,150,159.2,159.1,148.1,0,1,0,0,0
52,4.11983881748976,0,0,1,3,70,18,201.7,203.3,198.3,200.8,204.2,206,216.2,246.4,226.4,192.2,0,0,0,0,0
53,10.1733532811637,0,0,0,3,40,22,114.2,120,124.2,119.2,124.2,137.4,136.9,134.8,85.6,95.5,0,0,0,0,0
54,11.4894586596512,0,0,0,3,36.7,27,114.2,103.3,105,110.8,124.2,101.5,115.3,84.9,114.6,124.4,0,0,0,0,0
55,11.5277788640116,0,0,0,5,23.3,14,107.5,110,96.7,96.7,102.5,127.5,150.5,128.3,142.8,118.5,0,0,0,0,0
56,12.9450846535377,0,0,0,5,26.7,20,115,112.5,120,117.5,119.2,103.1,110.3,106.6,115.2,125.7,0,0,0,0,0
57,9.59155985095254,0,0,0,8,16.7,20,205.8,214.2,153.3,129.2,68.3,128.3,109.4,76.3,69.8,65.7,0,0,0,0,0
58,9.23743416295663,0,0,1,4,40,11,143.3,140.8,152.5,147.5,143.3,164.8,171.6,180.3,183.6,176.6,0,0,0,0,0
59,8.18142148180539,0,1,0,6,40,26,235.8,239.2,237.5,249.2,238.3,253.8,260.2,265.6,246.2,229.4,0,0,0,1,0
60,12.9967327474906,0,0,0,8,20,25,140.8,145.8,148.3,152.5,152.5,109.3,104.6,118.9,166,178,0,0,0,0,0
61,10.5923778119192,0,0,0,3,43.3,17,120,124.2,124.2,121.7,111.7,128.2,120.8,108.9,142.7,132.9,0,0,0,0,0
62,13.6289472101828,0,0,1,6,40,23,226.7,225,229.2,225,219.2,224.8,202.3,207.4,235,217.7,0,0,0,1,0
63,2.36911338742632,0,0,1,4,56.7,20,222.5,224.2,211.7,215.8,223.3,172.5,163.6,209.9,219.7,197.4,0,0,0,0,0
64,13.9034082145498,0,1,0,2,146.7,27,331.7,305.8,303.3,296.7,291.7,347,340.7,343.4,313.5,315.2,0,0,0,0,0
65,8.09684507077217,0,0,0,2,56.7,23,140,120,107.5,120,115,90.8,52.9,132.3,149.4,135.2,0,0,0,0,0
66,11.8858754422072,0,0,0,4,26.7,15,105,94.2,107.5,104.2,105,93.7,118.8,85.9,92.2,101.8,0,0,0,0,0
67,9.97019512826324,0,0,0,5,23.3,19,102.5,110.8,114.2,115,110.8,140.3,67.7,122.6,122.2,131,0,0,0,0,0
68,9.50890260291911,0,0,1,2,83.3,24,167.5,165.8,170,170,166.7,167.5,186.6,173.9,181.1,159.2,0,0,0,1,1
69,14.5349382075968,0,0,1,3,63.3,18,169.2,171.7,180.8,193.3,191.7,228.2,179.8,177.8,209.9,220.8,0,0,0,0,0
70,10.1549964473681,0,0,1,0,0,22,160,159.2,163.3,148.3,140.8,201.5,189.6,190.7,168.3,130.1,0,1,0,0,0
71,10.7464534617192,0,0,0,3,40,27,117.5,120,118.3,123.3,124.2,128.8,134.8,159.3,179.2,164.1,0,0,0,0,0
72,13.4310499531755,0,0,0,4,30,17,115.8,112.5,106.7,120,125,109.7,116.2,114.5,140.7,156,0,0,0,0,0
73,4.89743361171835,0,0,0,1,150,22,145.8,149.2,145,150,145.8,87.8,119.6,137.9,137.6,137.2,0,0,0,0,0
74,5.89033710292747,0,0,1,5,26.7,18,131.7,122.5,117.5,105.8,175,199.7,226.6,213.9,186.8,220.3,0,0,0,0,0
75,11.4773487437655,0,0,0,8,20,32,145,145,149.2,145.8,150,162.6,157.2,145.9,162.7,173.9,0,0,0,0,0
76,12.9402404993341,0,0,1,2,80,22,146.7,140,149.2,150,160,178.7,167.2,156.7,153.2,213.7,0,0,0,0,0
77,17.3269661112787,0,0,0,1,146.7,17,143.3,148.3,150.8,145,148.3,137.2,121.4,76.2,89.2,129.9,0,0,0,0,0
